DreamWorks, Kung Fu Panda, 2008
DreamWorks, Shrek, 2001
DreamWorks, How to Train Your Dragon 2, 2014
DreamWorks, Megamind, 2010
DreamWorks, Rise of the Guardians, 2012
Universal Studios, Jurassic World, 2015 
Universal Studios, Minions, 2015
Universal Studios, Despicable Me 2, 2013
Universal Studios, King Kong, 2005
Universal Studios, Furious 7, 2015
Disney, Tangled, 2010
Disney, Treasure Planet, 2002
Disney, The Princess and the Frog, 2009
Disney, Meet the Robinsons, 2007
Disney, The Muppets, 2011
MCU, Avengers Age of Ultron, 2015
MCU, BlackWidow, 2021
MCU, Civil War, 2016
MCU, Iron Man, 2008
MCU, Thor Ragnarok, 2017
